sample_id	variety_name	variety_alias	species	subspecies	accession	BioProject	BioSample	SRA_accession	ENA_accession	publication	country	population	cultivar_or_landrace	sequencing_platform	read_length	paired_or_single	estimated_depth	reference_genome	data_source	download_status	qc_status	name_source	name_quality	source_db	instrument_model	base_count	fastq_ftp	fastq_bytes	sample_title	study_title	sample_alias	center_name	first_public
ERR10368526			Oryza sativa	indica	ERR10368526	PRJEB56693	SAMEA111468818		ERR10368526				cultivar	ILLUMINA	98.3	PAIRED	50.936	IRGSP-1.0	ENA Portal API + ENA sample XML	not_downloaded	pending		unusable	ENA	Illumina HiSeq 1000	19100993698	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/026/ERR10368526/ERR10368526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/026/ERR10368526/ERR10368526_2.fastq.gz	8634545907;8650603407	IR64	The study involves sequencing the whole genome of five indica rice varieties namely, Nagina22, IR64, Anjali, Vandana and Pusa Basmati1. Paired-end genomic libraries were prepared and sequenced using Illumina platform and assembled to find sequence variations between these varieties and the japonica Nipponbare genomic sequence.	SAMIN0000058-IR64	Indian Biological Data Centre;Saurabh Raghuvanshi;University of Delhi South Campus	2023-09-30
ERR10368529	SAMIN0000071-indica		Oryza sativa	indica	ERR10368529	PRJEB56693	SAMEA111468912		ERR10368529				cultivar	ILLUMINA	97.9	PAIRED	55.468	IRGSP-1.0	ENA Portal API + ENA sample XML	not_downloaded	pending	derived:alias	caveat	ENA	Illumina HiSeq 1000	20800588947	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/029/ERR10368529/ERR10368529_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/029/ERR10368529/ERR10368529_2.fastq.gz	8143483738;8076587644	indica cultivar Anjali	The study involves sequencing the whole genome of five indica rice varieties namely, Nagina22, IR64, Anjali, Vandana and Pusa Basmati1. Paired-end genomic libraries were prepared and sequenced using Illumina platform and assembled to find sequence variations between these varieties and the japonica Nipponbare genomic sequence.	SAMIN0000071-indica cultivar Anjali	Indian Biological Data Centre;Saurabh Raghuvanshi;University of Delhi South Campus	2023-09-30
ERR10906856		HGE-Bulk- Basmati 370 X Pusa Basmati 1121|HGE-Bulk- Basmati 370 X Pusa Basmati 1121	Oryza sativa		ERR10906856	PRJEB60058	SAMEA112657700		ERR10906856					ILLUMINA	161.0	PAIRED	97.11	IRGSP-1.0	ENA Portal API + ENA sample XML	not_downloaded	pending		unusable	ENA	Illumina HiSeq 4000	36416063208	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/056/ERR10906856/ERR10906856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/056/ERR10906856/ERR10906856_2.fastq.gz	9034285180;8682879074	High Grain Elongation	Molecular Mapping of QTLs Associated with Grain Elongation in Basmati Rice was undertaken to identify QTLs associated with grain elongation in basmati rice using BSA and whole genome sequencing based on F2 population derived from self pollinated F1 plants generated from a cross between Basmati 370 and Pusa Basmati 1121. The identified QTLs associated with grain elongation can be further used in basmati rice breeding programmes for grain elongation. To identify the QTLs associated with grain elongation the following objectives were designed i. To accomplish morphological analysis for grain elongation along with the development of genotypic pools to carry out bulked segregant analysis in basmati rice ii. To identify genomic regions associated with grain elongation using BSA-sequencing and iii. To validate the identified QTLs associated with the grain elongation in basmati rice.	SAMIN0000656-High Grain Elongation	Indian Biological Data Centre;R K Salgotra	2023-11-30
ERR11777755	Albatros		Oryza sativa		ERR11777755	PRJEB64146	SAMEA114006083		ERR11777755	[?] | doi:10.1038/s41598-025-23999-5 | PMID:41249292 | 2025 | Whole-genome polymorphisms and relatedness of rice varieties circulating in the Mediterranean market	Portugal	variety	cultivar	ILLUMINA	151.0	PAIRED	69.331	IRGSP-1.0	ENA Portal API + ENA sample XML	not_downloaded	pending	xml:lineage_name	good	ENA	Illumina NovaSeq 6000	25999099668	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/055/ERR11777755/ERR11777755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/055/ERR11777755/ERR11777755_2.fastq.gz	6513067417;6903847712	rice_shoot_Albatros_ITQB	TRACE-RICE_Genomic_data_rice_variety_authentication	rs_Albatros_ITQB	ITQB NOVA	2024-12-10
ERR11777858	Ariete		Oryza sativa		ERR11777858	PRJEB64146	SAMEA114006086		ERR11777858	[?] | doi:10.1038/s41598-025-23999-5 | PMID:41249292 | 2025 | Whole-genome polymorphisms and relatedness of rice varieties circulating in the Mediterranean market	Portugal	variety	cultivar	ILLUMINA	151.0	PAIRED	63.072	IRGSP-1.0	ENA Portal API + ENA sample XML	not_downloaded	pending	xml:lineage_name	good	ENA	Illumina NovaSeq 6000	23652148042	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/058/ERR11777858/ERR11777858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/058/ERR11777858/ERR11777858_2.fastq.gz	6356740091;5842736577	rice_shoot_Ariete_ITQB	TRACE-RICE_Genomic_data_rice_variety_authentication	rs_Ariete_ITQB	ITQB NOVA	2024-12-10
ERR11783914	Giza181		Oryza sativa		ERR11783914	PRJEB64146	SAMEA114006094		ERR11783914	[?] | doi:10.1038/s41598-025-23999-5 | PMID:41249292 | 2025 | Whole-genome polymorphisms and relatedness of rice varieties circulating in the Mediterranean market	Portugal	variety	cultivar	ILLUMINA	151.0	PAIRED	61.119	IRGSP-1.0	ENA Portal API + ENA sample XML	not_downloaded	pending	xml:lineage_name	good	ENA	Illumina NovaSeq 6000	22919671504	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/014/ERR11783914/ERR11783914_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/014/ERR11783914/ERR11783914_2.fastq.gz	6245042050;5675724767	rice_shoot_Giza181_ITQB	TRACE-RICE_Genomic_data_rice_variety_authentication	rs_Giza181_ITQB	ITQB NOVA	2024-12-10
ERR11789060	Teti		Oryza sativa		ERR11789060	PRJEB64146	SAMEA114006101		ERR11789060	[?] | doi:10.1038/s41598-025-23999-5 | PMID:41249292 | 2025 | Whole-genome polymorphisms and relatedness of rice varieties circulating in the Mediterranean market	Portugal	variety	cultivar	ILLUMINA	151.0	PAIRED	69.474	IRGSP-1.0	ENA Portal API + ENA sample XML	not_downloaded	pending	xml:lineage_name	good	ENA	Illumina NovaSeq 6000	26052778658	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/060/ERR11789060/ERR11789060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/060/ERR11789060/ERR11789060_2.fastq.gz	6493637694;6931593124	rice_shoot_Teti_ITQB	TRACE-RICE_Genomic_data_rice_variety_authentication	rs_Teti_ITQB	ITQB NOVA	2024-12-10
ERR12305487			Oryza sativa		ERR12305487	PRJEB70241	SAMEA114639801		ERR12305487		India		landrace	ILLUMINA	150.0	PAIRED	28.372	IRGSP-1.0	ENA Portal API + ENA sample XML	not_downloaded	pending		unusable	ENA	Illumina NovaSeq 6000	10639420800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/087/ERR12305487/ERR12305487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/087/ERR12305487/ERR12305487_2.fastq.gz	2535649916;2634399067	Whole genome resequencing of Indian rice germplasm	Development of superior haplotype based near isogenic lines HaploNILs for enhanced genetic gain in rice	SAMIN0004125-Whole genome resequencing of Indian rice germplasm	Indian Biological Data Centre;Pallavi Sinha;International Rice Research Institute	2024-01-24
ERR12305493			Oryza sativa		ERR12305493	PRJEB70241	SAMEA114639799		ERR12305493		India		landrace	ILLUMINA	150.0	PAIRED	27.937	IRGSP-1.0	ENA Portal API + ENA sample XML	not_downloaded	pending		unusable	ENA	Illumina NovaSeq 6000	10476415800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/093/ERR12305493/ERR12305493_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/093/ERR12305493/ERR12305493_2.fastq.gz	2560716786;2494872949	Whole genome resequencing of Indian rice germplasm	Development of superior haplotype based near isogenic lines HaploNILs for enhanced genetic gain in rice	SAMIN0004122-Whole genome resequencing of Indian rice germplasm	Indian Biological Data Centre;Pallavi Sinha;International Rice Research Institute	2024-01-24
ERR12421769			Oryza sativa		ERR12421769	PRJEB71716	SAMEA115096206		ERR12421769		Malaysia		landrace	ILLUMINA	150.0	PAIRED	5.696	IRGSP-1.0	ENA Portal API + ENA sample XML	not_downloaded	pending		unusable	ENA	Illumina NovaSeq X	2135911200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/069/ERR12421769/ERR12421769_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/069/ERR12421769/ERR12421769_2.fastq.gz	474791998;460058785	Whole genome resequencing of landrace rice accessions with opposing response to salinity stress	Whole Genome Re-sequencing of selected rice accession with contrast responses to salinity stress	rice_MY	Biotechnology and Nanotechnology Research Centre, MARDI	2024-02-29
