group_id	duplicate_type	canonical_name	n_samples	n_varieties_in_group	samples	biosamples	bioprojects	max_depth	recommendation	note
DUP00001	same_biosample	LIU XU::IRGC 109232-1	9	1	SRR10302205;SRR10302299;SRR10302207;SRR10302209;SRR10302210;SRR10302211;SRR10302208;SRR10302212;SRR10302300	SAMN13021815	PRJNA577228	108.5	keep_one_run（同一 DNA 的技术重复，建库只取 1 个 run）	
DUP00002	same_biosample	IR64	10	1	SRR10357911;SRR10357915;SRR10357913;SRR10357916;SRR10357918;SRR10357912;SRR10357914;SRR10357917;SRR10357919;SRR10357929	SAMN10564385	PRJNA509165	29.8	keep_one_run（同一 DNA 的技术重复，建库只取 1 个 run）	
DUP00003	same_biosample	BIL_sbn	2	1	SRR11097791;SRR11097792	SAMN14122721	PRJNA607167	115.1	keep_one_run（同一 DNA 的技术重复，建库只取 1 个 run）	
DUP00004	same_biosample	Taichung Native 1	23	1	SRR12643972;SRR12643974;SRR12643976;SRR12643978;SRR12643979;SRR12643994;SRR12643973;SRR12643986;SRR12643990;SRR12643991;SRR12643992;SRR12643981	SAMN16115968	PRJNA663050	100.4	keep_one_run（同一 DNA 的技术重复，建库只取 1 个 run）	
DUP00005	same_biosample	Kola Joha	4	1	SRR13189454;SRR13189456;SRR13189453;SRR13189455	SAMN16793264	PRJNA678305	134.7	keep_one_run（同一 DNA 的技术重复，建库只取 1 个 run）	
DUP00006	same_biosample	ZS97	2	1	SRR13280199;SRR13280200	SAMN17125852	PRJNA686812	138.5	keep_one_run（同一 DNA 的技术重复，建库只取 1 个 run）	
DUP00007	same_biosample	Zhonghua 11	5	1	SRR14139046;SRR14297943;SRR14139043;SRR14139044;SRR14139045	SAMN18604610	PRJNA719383	64.1	keep_one_run（同一 DNA 的技术重复，建库只取 1 个 run）	
DUP00008	same_biosample	D62	5	1	SRR14139049;SRR14269748;SRR14139074;SRR14139100;SRR14139101	SAMN18604545	PRJNA719383	54.8	keep_one_run（同一 DNA 的技术重复，建库只取 1 个 run）	
DUP00009	same_biosample	Wushansimiao	5	1	SRR14139056;SRR14269757;SRR14139054;SRR14139055;SRR14139057	SAMN18604598	PRJNA719383	66.1	keep_one_run（同一 DNA 的技术重复，建库只取 1 个 run）	
DUP00010	same_biosample	Tumba	5	1	SRR14139061;SRR14139059;SRR14139062;SRR14269758;SRR14139058	SAMN18604595	PRJNA719383	58.5	keep_one_run（同一 DNA 的技术重复，建库只取 1 个 run）	
DUP00011	same_biosample	Tsipala Menahar	5	1	SRR14139063;SRR14297940;SRR14139064;SRR14139066;SRR14139065	SAMN18604592	PRJNA719383	76.5	keep_one_run（同一 DNA 的技术重复，建库只取 1 个 run）	
DUP00012	same_biosample	Nam Roo	5	1	SRR14139073;SRR14297950;SRR14139072;SRR14139069;SRR14139070	SAMN18604584	PRJNA719383	66.4	keep_one_run（同一 DNA 的技术重复，建库只取 1 个 run）	
