run_accession	experiment_accession	sample_accession	study_accession	secondary_study_accession	study_title	sample_title	sample_alias	scientific_name	tax_id	cultivar	ecotype	strain	isolate	country	collection_date	center_name	first_public	instrument_platform	instrument_model	library_strategy	library_source	library_layout	library_name	read_count	base_count	fastq_ftp	fastq_bytes	fastq_md5
ERR10368526	ERX9900449	SAMEA111468818	PRJEB56693	ERP141661	The study involves sequencing the whole genome of five indica rice varieties namely, Nagina22, IR64, Anjali, Vandana and Pusa Basmati1. Paired-end genomic libraries were prepared and sequenced using Illumina platform and assembled to find sequence variations between these varieties and the japonica Nipponbare genomic sequence.	IR64	SAMIN0000058-IR64	Oryza sativa	4530							Indian Biological Data Centre;Saurabh Raghuvanshi;University of Delhi South Campus	2023-09-30	ILLUMINA	Illumina HiSeq 1000	WGS	GENOMIC	PAIRED		194388250	19100993698	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/026/ERR10368526/ERR10368526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/026/ERR10368526/ERR10368526_2.fastq.gz	8634545907;8650603407	61ffd2dc29ade1b89132bb1db3956cc4;5b0040ba5d9d8e3105f753c399a2ae7f
ERR10368529	ERX9900452	SAMEA111468912	PRJEB56693	ERP141661	The study involves sequencing the whole genome of five indica rice varieties namely, Nagina22, IR64, Anjali, Vandana and Pusa Basmati1. Paired-end genomic libraries were prepared and sequenced using Illumina platform and assembled to find sequence variations between these varieties and the japonica Nipponbare genomic sequence.	indica cultivar Anjali	SAMIN0000071-indica cultivar Anjali	Oryza sativa	4530							Indian Biological Data Centre;Saurabh Raghuvanshi;University of Delhi South Campus	2023-09-30	ILLUMINA	Illumina HiSeq 1000	WGS	GENOMIC	PAIRED		212525070	20800588947	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/029/ERR10368529/ERR10368529_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/029/ERR10368529/ERR10368529_2.fastq.gz	8143483738;8076587644	363793c62f369b1c5a9d008b9fabc4ef;9fb362b5dba5d9992795db3538b2c586
ERR10906856	ERX10348457	SAMEA112657700	PRJEB60058	ERP145103	Molecular Mapping of QTLs Associated with Grain Elongation in Basmati Rice was undertaken to identify QTLs associated with grain elongation in basmati rice using BSA and whole genome sequencing based on F2 population derived from self pollinated F1 plants generated from a cross between Basmati 370 and Pusa Basmati 1121. The identified QTLs associated with grain elongation can be further used in basmati rice breeding programmes for grain elongation. To identify the QTLs associated with grain elongation the following objectives were designed i. To accomplish morphological analysis for grain elongation along with the development of genotypic pools to carry out bulked segregant analysis in basmati rice ii. To identify genomic regions associated with grain elongation using BSA-sequencing and iii. To validate the identified QTLs associated with the grain elongation in basmati rice.	High Grain Elongation	SAMIN0000656-High Grain Elongation	Oryza sativa	4530	HGE-Bulk- Basmati 370 X Pusa Basmati 1121						Indian Biological Data Centre;R K Salgotra	2023-11-30	ILLUMINA	Illumina HiSeq 4000	WGS	GENOMIC	PAIRED		226186728	36416063208	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/056/ERR10906856/ERR10906856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/056/ERR10906856/ERR10906856_2.fastq.gz	9034285180;8682879074	e65fba3edfb3f5dfea7517fbbf94e106;f7d19b11f959d52eb8b7cf33cc1cf8c7
ERR11777755	ERX11176419	SAMEA114006083	PRJEB64146	ERP149279	TRACE-RICE_Genomic_data_rice_variety_authentication	rice_shoot_Albatros_ITQB	rs_Albatros_ITQB	Oryza sativa	4530					Portugal	2021-12-29	ITQB NOVA	2024-12-10	ILLUMINA	Illumina NovaSeq 6000	WGS	GENOMIC	PAIRED		172179468	25999099668	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/055/ERR11777755/ERR11777755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/055/ERR11777755/ERR11777755_2.fastq.gz	6513067417;6903847712	59db15ada37ffaa84de4c384256cbd93;fb53ba2f1d249c350447a5dcb7eb4094
ERR11777858	ERX11176522	SAMEA114006086	PRJEB64146	ERP149279	TRACE-RICE_Genomic_data_rice_variety_authentication	rice_shoot_Ariete_ITQB	rs_Ariete_ITQB	Oryza sativa	4530					Portugal	2021-09-06	ITQB NOVA	2024-12-10	ILLUMINA	Illumina NovaSeq 6000	WGS	GENOMIC	PAIRED		156636742	23652148042	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/058/ERR11777858/ERR11777858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/058/ERR11777858/ERR11777858_2.fastq.gz	6356740091;5842736577	e426182210ca9b871f7c53afe79ff1f8;54ea38290c486c97ea7742596dec8327
ERR11783914	ERX11182431	SAMEA114006094	PRJEB64146	ERP149279	TRACE-RICE_Genomic_data_rice_variety_authentication	rice_shoot_Giza181_ITQB	rs_Giza181_ITQB	Oryza sativa	4530					Portugal	2021-09-06	ITQB NOVA	2024-12-10	ILLUMINA	Illumina NovaSeq 6000	WGS	GENOMIC	PAIRED		151785904	22919671504	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/014/ERR11783914/ERR11783914_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/014/ERR11783914/ERR11783914_2.fastq.gz	6245042050;5675724767	b6539f89093ed440fb75bfa539650829;459a5502fbaccfe421be6351ac0bba86
ERR11789060	ERX11187527	SAMEA114006101	PRJEB64146	ERP149279	TRACE-RICE_Genomic_data_rice_variety_authentication	rice_shoot_Teti_ITQB	rs_Teti_ITQB	Oryza sativa	4530					Portugal	2021-09-06	ITQB NOVA	2024-12-10	ILLUMINA	Illumina NovaSeq 6000	WGS	GENOMIC	PAIRED		172534958	26052778658	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/060/ERR11789060/ERR11789060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/060/ERR11789060/ERR11789060_2.fastq.gz	6493637694;6931593124	36323a480907db5bd9a144ca97bfc74a;07450e66d3f0211a77a4a6eeefa8abf4
ERR12305487	ERX11682434	SAMEA114639801	PRJEB70241	ERP155180	Development of superior haplotype based near isogenic lines HaploNILs for enhanced genetic gain in rice	Whole genome resequencing of Indian rice germplasm	SAMIN0004125-Whole genome resequencing of Indian rice germplasm	Oryza sativa	4530					India	2021-09	Indian Biological Data Centre;Pallavi Sinha;International Rice Research Institute	2024-01-24	ILLUMINA	Illumina NovaSeq 6000	WGS	GENOMIC	PAIRED		70929472	10639420800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/087/ERR12305487/ERR12305487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/087/ERR12305487/ERR12305487_2.fastq.gz	2535649916;2634399067	d645e6a6f551a552c5d5b17c3190704b;257dedc1db52890c11eaf471e634fbfc
ERR12305493	ERX11682440	SAMEA114639799	PRJEB70241	ERP155180	Development of superior haplotype based near isogenic lines HaploNILs for enhanced genetic gain in rice	Whole genome resequencing of Indian rice germplasm	SAMIN0004122-Whole genome resequencing of Indian rice germplasm	Oryza sativa	4530					India	2021-09	Indian Biological Data Centre;Pallavi Sinha;International Rice Research Institute	2024-01-24	ILLUMINA	Illumina NovaSeq 6000	WGS	GENOMIC	PAIRED		69842772	10476415800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/093/ERR12305493/ERR12305493_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/093/ERR12305493/ERR12305493_2.fastq.gz	2560716786;2494872949	19bde38c869856c6a62d78391b1d1d5e;c735ed1da1b127851c474794e74b9aba
ERR12421769	ERX11798127	SAMEA115096206	PRJEB71716	ERP156500	Whole Genome Re-sequencing of selected rice accession with contrast responses to salinity stress	Whole genome resequencing of landrace rice accessions with opposing response to salinity stress	rice_MY	Oryza sativa	4530					Malaysia	2023-06-01	Biotechnology and Nanotechnology Research Centre, MARDI	2024-02-29	ILLUMINA	Illumina NovaSeq X	WGS	GENOMIC	PAIRED	Bidor	14239408	2135911200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/069/ERR12421769/ERR12421769_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/069/ERR12421769/ERR12421769_2.fastq.gz	474791998;460058785	5c178141ab28a664b3d9778fec8c6825;d3d0dee0308c4f4da3a178422c261657
