sample_accession	lineage_name	lineage_rank	cultivar_tag	ecotype_tag	description	xml_title	xml_country	dev_stage	fetch_status
SAMEA112657702			Pusa Basmati 1121		It is a pure line essential derived basmati rice variety	Pusa Basmati 1121			ok
SAMEA113461061					genomic DNA rice leaves	COPSEMAR9			ok
SAMEA114006084	Arborio	variety			Arborio variety rice seedling shoot 1-2 weeks old. Seed originated from Italy, germinated in Portugal.	rice_shoot_Arborio_ITQB	Portugal	seedling_development_stage (PO_0007131)	ok
SAMEA114006085	Arelate	variety			Arelate variety rice seedling shoot 1-2 weeks old. Seed originated from France, germinated in Portugal.	rice_shoot_Arelate_ITQB	Portugal	seedling_development_stage (PO_0007131)	ok
SAMEA114006092	Gageron	variety			Gageron variety rice seedling shoot 1-2 weeks old. Seed originated from France, germinated in Portugal.	rice_shoot_Gageron_ITQB	Portugal	seedling_development_stage (PO_0007131)	ok
SAMEA114639799					Contains Indian landraces farmer varieties, high yielding varieties and breeding lines.	Whole genome resequencing of Indian rice germplasm	India		ok
SAMEA115096206					Leaf DNA day 42 was extracted for whole genome re-sequencing.	Whole genome resequencing of landrace rice accessions with opposing response to salinity stress	Malaysia	The leaves of two-week-old germinated seedlings.	ok
SAMEA115396718					cultivar rice accession GP622	GP622 ONT whole-genome sequencing	not provided		ok
SAMEA115396722					cultivar rice accession HP519	HP519 ONT whole-genome sequencing	not provided		ok
SAMEA115396708					cultivar rice accession 534M	534M HiFi whole-genome sequencing	not provided		ok
SAMEA119579608					leaf DNA was extracted for genome sequencing	WR8	Malaysia		ok
SAMEA119579609					leaf DNA was extracted for genome sequencing	WR9	Malaysia		ok
SAMEA119579613					leaf DNA was extracted for genome sequencing	WR14	Malaysia		ok
SAMEA121259634					leaf DNA was extracted for genome sequencing	MR106	Malaysia		ok
SAMEA3312899					Whole genome resequencing of the Korean rice, Dongjin_chal, using Illumina Hiseq 2000	Dongjin_chal WGS			ok
SAMEA110192125					Hybrid Rice Accession ZJM1 WGS	ZJM1_WGS			ok
SAMEA110192135					Hybrid Rice Accession ZJM11 WGS	ZJM11_WGS			ok
SAMEA110192144					Hybrid Rice Accession ZJM20 WGS	ZJM20_WGS			ok
SAMEA110192160					Hybrid Rice Accession ZJM36 WGS	ZJM36_WGS			ok
SAMEA110192167					Hybrid Rice Accession ZJM44 WGS	ZJM44_WGS			ok
SAMEA110192180					Hybrid Rice Accession ZJM57 WGS	ZJM57_WGS			ok
SAMEA110192181					Hybrid Rice Accession ZJM58 WGS	ZJM58_WGS			ok
SAMEA110192183					Hybrid Rice Accession ZJM60 WGS	ZJM60_WGS			ok
SAMEA110192192					Hybrid Rice Accession ZJM70 WGS	ZJM70_WGS			ok
SAMEA110192193					Hybrid Rice Accession ZJM71 WGS	ZJM71_WGS			ok
SAMEA110192236					Hybrid Rice Accession ZJM116 WGS	ZJM116_WGS			ok
SAMEA110192248					Hybrid Rice Accession ZJM129 WGS	ZJM129_WGS			ok
SAMEA110192259					Hybrid Rice Accession ZJM140 WGS	ZJM140_WGS			ok
SAMEA110192260					Hybrid Rice Accession ZJM141 WGS	ZJM141_WGS			ok
SAMEA110192139					Hybrid Rice Accession ZJM15 WGS	ZJM15_WGS			ok
SAMEA110192153					Hybrid Rice Accession ZJM29 WGS	ZJM29_WGS			ok
SAMEA110192174					Hybrid Rice Accession ZJM51 WGS	ZJM51_WGS			ok
SAMEA110192177					Hybrid Rice Accession ZJM54 WGS	ZJM54_WGS			ok
SAMEA110192178					Hybrid Rice Accession ZJM55 WGS	ZJM55_WGS			ok
SAMEA110192185					Hybrid Rice Accession ZJM62 WGS	ZJM62_WGS			ok
SAMEA110192188					Hybrid Rice Accession ZJM65 WGS	ZJM65_WGS			ok
SAMEA110192230					Hybrid Rice Accession ZJM110 WGS	ZJM110_WGS			ok
SAMEA110192232					Hybrid Rice Accession ZJM112 WGS	ZJM112_WGS			ok
SAMEA110192233					Hybrid Rice Accession ZJM113 WGS	ZJM113_WGS			ok
SAMEA110192244					Hybrid Rice Accession ZJM124 WGS	ZJM124_WGS			ok
SAMEA110192245					Hybrid Rice Accession ZJM125 WGS	ZJM125_WGS			ok
SAMEA110192256					Hybrid Rice Accession ZJM137 WGS	ZJM137_WGS			ok
SAMEA110192261					Hybrid Rice Accession ZJM142 WGS	ZJM142_WGS			ok
SAMEA110192262					Hybrid Rice Accession ZJM143 WGS	ZJM143_WGS			ok
SAMEA110192265					Hybrid Rice Accession ZJM146 WGS	ZJM146_WGS			ok
SAMEA110192266					Hybrid Rice Accession ZJM147 WGS	ZJM147_WGS			ok
SAMEA110192273					Hybrid Rice Accession ZJM154 WGS	ZJM154_WGS			ok
SAMEA110192206					Hybrid Rice Accession ZJM85 WGS	ZJM85_WGS			ok
SAMEA110192209					Hybrid Rice Accession ZJM88 WGS	ZJM88_WGS			ok
SAMEA110192210					Hybrid Rice Accession ZJM89 WGS	ZJM89_WGS			ok
SAMEA110192219					Hybrid Rice Accession ZJM98 WGS	ZJM98_WGS			ok
SAMEA110192235					Hybrid Rice Accession ZJM115 WGS	ZJM115_WGS			ok
SAMEA110192258					Hybrid Rice Accession ZJM139 WGS	ZJM139_WGS			ok
SAMEA110192270					Hybrid Rice Accession ZJM151 WGS	ZJM151_WGS			ok
SAMEA110192293					Hybrid Rice Accession ZJM174 WGS	ZJM174_WGS			ok
SAMEA110192294					Hybrid Rice Accession ZJM175 WGS	ZJM175_WGS			ok
SAMEA110192297					Hybrid Rice Accession ZJM178 WGS	ZJM178_WGS			ok
SAMEA110192302					Hybrid Rice Accession ZJM183 WGS	ZJM183_WGS			ok
SAMEA110192306					Hybrid Rice Accession ZJM188 WGS	ZJM188_WGS			ok
SAMEA110192308					Hybrid Rice Accession ZJM190 WGS	ZJM190_WGS			ok
SAMEA110192323					Hybrid Rice Accession ZJM205 WGS	ZJM205_WGS			ok
SAMEA110192345					Hybrid Rice Accession ZJM227 WGS	ZJM227_WGS			ok
SAMEA110192355					Hybrid Rice Accession ZJM238 WGS	ZJM238_WGS			ok
SAMEA110192357					Hybrid Rice Accession ZJM241 WGS	ZJM241_WGS			ok
SAMEA110192366					Hybrid Rice Accession ZJM250 WGS	ZJM250_WGS			ok
SAMEA110192368					Hybrid Rice Accession ZJM252 WGS	ZJM252_WGS			ok
SAMEA110192378					Hybrid Rice Accession ZJM262 WGS	ZJM262_WGS			ok
SAMEA110192212					Hybrid Rice Accession ZJM91 WGS	ZJM91_WGS			ok
SAMEA110192315					Hybrid Rice Accession ZJM197 WGS	ZJM197_WGS			ok
SAMEA110192359					Hybrid Rice Accession ZJM243 WGS	ZJM243_WGS			ok
SAMEA110192373					Hybrid Rice Accession ZJM257 WGS	ZJM257_WGS			ok
SAMEA110192385					Hybrid Rice Accession ZJM269 WGS	ZJM269_WGS			ok
SAMEA110192392					Hybrid Rice Accession ZJM276 WGS	ZJM276_WGS			ok
SAMEA110192403					Hybrid Rice Accession ZJM287 WGS	ZJM287_WGS			ok
SAMEA110192411					Hybrid Rice Accession ZJM296 WGS	ZJM296_WGS			ok
SAMEA110192412					Hybrid Rice Accession ZJM297 WGS	ZJM297_WGS			ok
SAMEA110192414					Hybrid Rice Accession ZJM299 WGS	ZJM299_WGS			ok
SAMEA110192422					Hybrid Rice Accession ZJM308 WGS	ZJM308_WGS			ok
SAMEA110192447					Hybrid Rice Accession ZJM334 WGS	ZJM334_WGS			ok
SAMEA110192394					Hybrid Rice Accession ZJM278 WGS	ZJM278_WGS			ok
SAMEA110192428					Hybrid Rice Accession ZJM314 WGS	ZJM314_WGS			ok
SAMEA110192429					Hybrid Rice Accession ZJM315 WGS	ZJM315_WGS			ok
SAMEA110192450					Hybrid Rice Accession ZJM337 WGS	ZJM337_WGS			ok
SAMEA110192453					Hybrid Rice Accession ZJM340 WGS	ZJM340_WGS			ok
SAMEA110192467					Hybrid Rice Accession ZJM354 WGS	ZJM354_WGS			ok
SAMEA110192491					Hybrid Rice Accession ZJM476 WGS	ZJM476_WGS			ok
SAMEA110192561					Hybrid Rice Accession ZJM548 WGS	ZJM548_WGS			ok
SAMEA110192490					Hybrid Rice Accession ZJM475 WGS	ZJM475_WGS			ok
SAMEA110192537					Hybrid Rice Accession ZJM523 WGS	ZJM523_WGS			ok
SAMEA110192560					Hybrid Rice Accession ZJM547 WGS	ZJM547_WGS			ok
SAMEA110192572					Hybrid Rice Accession ZJM560 WGS	ZJM560_WGS			ok
SAMEA110192574					Hybrid Rice Accession ZJM562 WGS	ZJM562_WGS			ok
SAMEA110192576					Hybrid Rice Accession ZJM565 WGS	ZJM565_WGS			ok
