study_accession	n_runs	evidence	pmid	doi	year	journal	title	reported_n	scale_check	scale_note
PRJNA795890	9503	none								
PRJDB38331	5344	none								
PRJEB53225	2837	fulltext_mention	37679493	10.1038/s41588-023-01495-8	2023		Structure and function of rice hybrid genomes reveal genetic basis and optimal performance of heterosis.		unknown	摘要未给出样本量，无法核验
PRJNA656900	1137	fulltext_mention	37191779	10.1186/s12284-023-00642-3	2023		Genetic Diversity and Breeding Signatures for Regional Indica Rice Improvement in Guangdong of Southern China.	517	plausible	run/样本 = 2.20（每样本多次测序，合理）
PRJNA844290	547	fulltext_mention	37056426	10.1093/nsr/nwad029	2023		Genomic decoding of breeding history to guide breeding-by-design in rice.	546	match	run/样本 = 1.00（近乎 1:1，高度可信）
PRJNA1224316	493	fulltext_mention	40164786	10.1038/s41477-025-01966-2	2025		Rapid formation of stable autotetraploid rice from genome-doubled F1 hybrids of japonica-indica subspecies.		unknown	摘要未给出样本量，无法核验
PRJEB40526	482	none								
PRJNA820969	413	fulltext_mention	36648593	10.1186/s12284-023-00620-9	2023		Artificially Selected Grain Shape Gene Combinations in Guangdong Simiao Varieties of Rice (Oryza sativa L.).		unknown	摘要未给出样本量，无法核验
PRJDB25850	403	none								
PRJNA623686	397	fulltext_mention	42286142	10.1038/s41588-026-02641-8	2026		A k-mer-based genome-wide association study approach empowering gene mining in polyploids.		unknown	摘要未给出样本量，无法核验
PRJNA1003283	324	fulltext_mention	40169429	10.1186/s12284-025-00782-8	2025		Comprehensive GWAS and Transcriptome Analysis Discovered Candidate Gene Associated with Starch Pasting Properties of Temperate japonica rice (Oryza sativa L.).	284	match	run/样本 = 1.14（近乎 1:1，高度可信）
PRJNA316308	299	fulltext_mention	33020276	10.1073/pnas.2015736117	2020		Genomic diversity generated by a transposable element burst in a rice recombinant inbred population.		unknown	摘要未给出样本量，无法核验
PRJNA512109	295	fulltext_mention	30976929	10.1186/s12284-019-0285-y	2019		Genome-wide association study and candidate gene analysis of alkalinity tolerance in japonica rice germplasm at the seedling stage.		unknown	摘要未给出样本量，无法核验
PRJNA260762	275	fulltext_mention	42168869	10.1186/s12870-026-08946-4	2026		Genome-wide association analysis and molecular marker development for effective tiller number in rice natural population.	270	match	run/样本 = 1.02（近乎 1:1，高度可信）
PRJNA1141731	273	fulltext_mention	41094643	10.1186/s12870-025-07420-x	2025		Grain shape in rice: a Genome-wide association study of the effector genes.		unknown	摘要未给出样本量，无法核验
PRJDB39102	265	none								
PRJNA295802	240	fulltext_mention	32213201	10.1186/s13059-020-01980-x	2020		Diverse genetic mechanisms underlie worldwide convergent rice feralization.		unknown	摘要未给出样本量，无法核验
PRJNA1217574	227	fulltext_mention	41304678	10.3390/plants14223527	2025		Comparison of the Genetic Basis of Yield Traits Between Main and Ratoon Rice in an Eight-Way MAGIC Population.	17	mismatch	run/样本 = 13.35（★ 差距过大，疑为误匹配）
PRJNA678613	202	fulltext_mention	34691642	10.1093/nsr/nwaa277	2021		Genomic mosaicism due to homoeologous exchange generates extensive phenotypic diversity in nascent allopolyploids.		unknown	摘要未给出样本量，无法核验
PRJNA692836	202	fulltext_mention	40180959	10.1038/s41467-025-58081-1	2025		GWAS meta-analysis using a graph-based pan-genome enhanced gene mining efficiency for agronomic traits in rice.	7765	runs_fewer	run/样本 = 0.03（run 少于自述样本量，可能仅部分数据）
PRJNA792623	199	none								
PRJNA526140	197	none								
PRJNA896894	190	fulltext_mention	36568369	10.3389/fgene.2022.1036747	2022		GWAS analysis to elucidate genetic composition underlying a photoperiod-insensitive rice population, North Korea.		unknown	摘要未给出样本量，无法核验
PRJNA554986	190	fulltext_mention	42452259	10.3390/plants15132063	2026		Genome-Wide Association Analysis of Gibberellin Sensitivity for Panicle Exsertion Length in Rice and Candidate Gene Identification.	173	match	run/样本 = 1.10（近乎 1:1，高度可信）
PRJNA896343	188	fulltext_mention	36618635	10.3389/fpls.2022.1076600	2022		High-density genetic mapping identified QTLs for anaerobic germination tolerance in rice.	50	mismatch	run/样本 = 3.76（★ 差距过大，疑为误匹配）
PRJNA734973	174	fulltext_mention	35162989	10.3390/ijms23031065	2022		Identification and Allele Combination Analysis of Rice Grain Shape-Related Genes by Genome-Wide Association Study.		unknown	摘要未给出样本量，无法核验
PRJNA603026	166	fulltext_mention		10.1101/2024.05.06.592698	2024		Maroon rice genomic diversity reflects 350 years of colonial history		unknown	摘要未给出样本量，无法核验
PRJNA486425	153	fulltext_mention	30227868	10.1186/s12915-018-0572-x	2018		Genome sequencing of rice subspecies and genetic analysis of recombinant lines reveals regional yield- and quality-associated loci.		unknown	摘要未给出样本量，无法核验
PRJNA664261	138	fulltext_mention	36513420	10.1016/j.jare.2021.12.004	2022		Multi-omics analysis reveals the genetic basis of rice fragrance mediated by betaine aldehyde dehydrogenase 2.	475	runs_fewer	run/样本 = 0.29（run 少于自述样本量，可能仅部分数据）
PRJNA798554	137	none								
PRJNA830537	123	none								
PRJNA202926	121	fulltext_mention		10.1101/2024.05.06.592698	2024		Maroon rice genomic diversity reflects 350 years of colonial history		unknown	摘要未给出样本量，无法核验
PRJNA723638	120	fulltext_mention	34234803	10.3389/fpls.2021.699464	2021		The New Is Old: Novel Germination Strategy Evolved From Standing Genetic Variation in Weedy Rice.		unknown	摘要未给出样本量，无法核验
