canonical_name	norm_key	n_runs	n_spellings	spellings	evidence	is_code_like
Zhonghua 11	zh11	5360	2	ZH11|Zhonghua11	curated_common_usage	no
Kitaake	kitaake	62	1	Kitaake	mechanical_normalization	no
Nipponbare	npb	53	2	NPB|Nipponbare	curated_common_usage	no
SK1	sk1	47	1	SK1	curated_common_usage	yes
DN416	dn416	36	1	DN416	mechanical_normalization	yes
DG1	dg1	31	1	DG1	curated_common_usage	yes
Samba Mahsuri	sambamahsuri	28	2	Samba Mahsuri|samba mahsuri	mechanical_normalization	no
NIPB	nipb	27	1	NIPB	mechanical_normalization	no
Taichung Native 1	taichungnative1	25	2	Taichung Native 1 (TN1)|TN1	curated_common_usage	no
93-11	9311	18	3	9311|93-11|9311(Wuhan)	curated_common_usage	yes
DN423	dn423	18	1	DN423	mechanical_normalization	yes
Y58S	y58s	13	2	Y58S|Y58s	curated_common_usage	yes
CY927	cy927	13	1	CY927	mechanical_normalization	yes
Minghui 63	minghui63	12	2	Minghui63|Minghui_63	curated_common_usage	no
Wanli 1	wanli1	12	1	Wanli 1	mechanical_normalization	no
Huanghuazhan	huanghuazhan	11	2	Huanghuazhan|Huang Hua Zhan	curated_common_usage	no
IR64	ir64	10	1	IR64 (IRRI)	curated_common_usage	yes
R900	r900	10	1	R900	mechanical_normalization	yes
Dular	dular	10	1	Dular	mechanical_normalization	no
LIU XU::IRGC 109232-1	liuxuirgc1092321	9	1	LIU XU::IRGC 109232-1	mechanical_normalization	no
Wuyungeng24	wuyungeng24	9	1	Wuyungeng24	mechanical_normalization	no
NDCMP49	ndcmp49	9	1	NDCMP49	mechanical_normalization	no
HCS	hcs	9	1	HCS	mechanical_normalization	no
Jia58	jia58	9	1	Jia58	mechanical_normalization	yes
DV85	dv85	9	1	DV85	mechanical_normalization	yes
N22	n22	8	1	N22	mechanical_normalization	yes
Fuhui838	fuhui838	8	1	Fuhui838	mechanical_normalization	no
BPT-5204	bpt5204	8	2	BPT-5204|BPT 5204	mechanical_normalization	yes
Liangyoupei9	liangyoupei9	8	1	Liangyoupei9	mechanical_normalization	no
Longdao24	longdao24	8	1	Longdao24	mechanical_normalization	no
Wushansimiao	wushansimiao	7	2	Wushansimiao|Wu Shan Si Miao	mechanical_normalization	no
Yihui3551	yihui3551	7	1	Yihui3551	mechanical_normalization	no
SHZ	shz	7	1	SHZ	mechanical_normalization	no
Tetep	tetep	7	1	Tetep	mechanical_normalization	no
PA1	pa1	7	1	PA1	mechanical_normalization	yes
Chunyou84 (CY84)	chunyou84	6	1	Chunyou84 (CY84)	mechanical_normalization	no
Yuetai B	yuetaib	6	3	Yuetai B|YuetaiB|Yuetai_B	mechanical_normalization	no
illmi	illmi	6	1	illmi	mechanical_normalization	no
Huazhan	huazhan	6	2	Huazhan|Hua Zhan	mechanical_normalization	no
KA1	ka1	6	1	KA1	mechanical_normalization	yes
Longliangyou1353	longliangyou1353	5	1	Longliangyou1353	mechanical_normalization	no
Gui630	gui630	5	1	Gui630	mechanical_normalization	yes
D62	d62	5	1	D62	mechanical_normalization	yes
Tumba	tumba	5	1	Tumba	mechanical_normalization	no
Tsipala Menahar	tsipalamenahar	5	1	Tsipala Menahar	mechanical_normalization	no
Nam Roo	namroo	5	1	Nam Roo	mechanical_normalization	no
J4155	j4155	5	1	J4155	mechanical_normalization	yes
II32	ii32	5	1	II32	mechanical_normalization	yes
Guang8	guang8	5	1	Guang8	mechanical_normalization	no
DHX2	dhx2	5	1	DHX2	mechanical_normalization	yes
Mianhui725	mianhui725	5	1	Mianhui725	mechanical_normalization	no
Clonal CY84	clonalcy84	5	1	Clonal CY84	mechanical_normalization	no
02428	02428	5	2	02428|#02428	mechanical_normalization	yes
Kola Joha	kolajoha	4	1	Kola Joha	mechanical_normalization	no
C418	c418	4	2	C418|C 418	mechanical_normalization	yes
Shenglixian	shenglixian	4	1	Shenglixian	mechanical_normalization	no
Zhenshan97	zhenshan97	4	1	Zhenshan97	mechanical_normalization	no
IR50	ir50	4	2	IR50|IR-50	mechanical_normalization	yes
Kitaake Ubi-Xa21	kitaakeubixa21	4	1	Kitaake Ubi-Xa21	mechanical_normalization	no
YSBR1	ysbr1	4	1	YSBR1	mechanical_normalization	yes
