topic	pmid	year	journal	first_author	n_authors	title	doi
rice_resequencing	34828355	2021	Genes (Basel)	Ji H	10	Genomic Variation in Korean japonica Rice Varieties	10.3390/genes12111749
rice_resequencing	28715430	2017	PLoS One	Jiang S	9	Resequencing and variation identification of whole genome of the japonica rice variety "Longdao24" with high yield	10.1371/journal.pone.0181037
rice_resequencing	32963241	2020	Nat Commun	Lv Q	32	Resequencing of 1,143 indica rice accessions reveals important genetic variations and different heterosis patterns	10.1038/s41467-020-18608-0
rice_resequencing	35162989	2022	Int J Mol Sci	Meng B	12	Identification and Allele Combination Analysis of Rice Grain Shape-Related Genes by Genome-Wide Association Study	10.3390/ijms23031065
rice_resequencing	24872877	2014	Gigascience	3,000 rice genomes project	1	The 3,000 rice genomes project	10.1186/2047-217X-3-7
rice_resequencing	40950556	2025	Plant Direct	Zou B	10	Identification and Evolution of Salt-Tolerant Genes in Weedy Rice Through High-Throughput Resequencing	10.1002/pld3.70096
rice_resequencing	39741238	2024	BMC Genomics	Zhou X	6	The genomic pattern of insertion/deletion variations during rice improvement	10.1186/s12864-024-11178-1
rice_resequencing	36215240	2022	PLoS One	Long W	8	Development of InDel markers for Oryza sativa ssp. javanica based on whole-genome resequencing	10.1371/journal.pone.0274418
rice_resequencing	29478186	2018	Theor Appl Genet	Wu Y	12	Aneuploidization under segmental allotetraploidy in rice and its phenotypic manifestation	10.1007/s00122-018-3077-7
rice_resequencing	31527731	2019	Nat Ecol Evol	Ye CY	15	Genomic evidence of human selection on Vavilovian mimicry	10.1038/s41559-019-0976-1
rice_resequencing	28465411	2017	Plant Cell	Xiong Q	14	Ethylene-Inhibited Jasmonic Acid Biosynthesis Promotes Mesocotyl/Coleoptile Elongation of Etiolated Rice Seedlings	10.1105/tpc.16.00981
rice_resequencing	29387076	2017	Front Plant Sci	Quan R	10	Improvement of Salt Tolerance Using Wild Rice Genes	10.3389/fpls.2017.02269
rice_resequencing	34110541	2021	Rice (N Y)	Higgins J	27	Resequencing of 672 Native Rice Accessions to Explore Genetic Diversity and Trait Associations in Vietnam	10.1186/s12284-021-00481-0
