run_accession	experiment_accession	sample_accession	study_accession	secondary_study_accession	instrument_platform	instrument_model	library_layout	library_strategy	library_source	read_count	base_count	center_name	first_public	country	sample_title	sample_alias	scientific_name	tax_id	fastq_ftp	fastq_bytes
ERR10906858	ERX10348459	SAMEA112657702	PRJEB60058	ERP145103	ILLUMINA	Illumina HiSeq 4000	PAIRED	WGS	GENOMIC	57038990	9069199410	Indian Biological Data Centre;R K Salgotra	2023-11-30		Pusa Basmati 1121	SAMIN0000655-Pusa Basmati 1121	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/058/ERR10906858/ERR10906858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/058/ERR10906858/ERR10906858_2.fastq.gz	2337340837;2172357682
ERR11472542	ERX10878716	SAMEA113461061	PRJEB62400	ERP147489	PACBIO_SMRT	Sequel	SINGLE	WGS	GENOMIC	960939	11297850515	Center for Research in Agricultural Genomics (CRAG	2023-10-11		COPSEMAR9	COPSEMAR9	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/042/ERR11472542/ERR11472542.fastq.gz	3518297965
ERR11472546	ERX10878720	SAMEA113461061	PRJEB62400	ERP147489	PACBIO_SMRT	Sequel	SINGLE	WGS	GENOMIC	1063288	13086539097	Center for Research in Agricultural Genomics (CRAG	2023-10-11		COPSEMAR9	COPSEMAR9	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/046/ERR11472546/ERR11472546.fastq.gz	4073590731
ERR11777612	ERX11176276	SAMEA114006084	PRJEB64146	ERP149279	ILLUMINA	Illumina NovaSeq 6000	PAIRED	WGS	GENOMIC	164574896	24850809296	ITQB NOVA	2024-12-10	Portugal	rice_shoot_Arborio_ITQB	rs_Arborio_ITQB	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/012/ERR11777612/ERR11777612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/012/ERR11777612/ERR11777612_2.fastq.gz	6016804688;6584007004
ERR11777790	ERX11176454	SAMEA114006085	PRJEB64146	ERP149279	ILLUMINA	Illumina NovaSeq 6000	PAIRED	WGS	GENOMIC	144855980	21873252980	ITQB NOVA	2024-12-10	Portugal	rice_shoot_Arelate_ITQB	rs_Arelate_ITQB	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/090/ERR11777790/ERR11777790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/090/ERR11777790/ERR11777790_2.fastq.gz	5917451173;5406829706
ERR11779532	ERX11178135	SAMEA114006092	PRJEB64146	ERP149279	ILLUMINA	Illumina NovaSeq 6000	PAIRED	WGS	GENOMIC	133230590	20117819090	ITQB NOVA	2024-12-10	Portugal	rice_shoot_Gageron_ITQB	rs_Gageron_ITQB	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/032/ERR11779532/ERR11779532_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/032/ERR11779532/ERR11779532_2.fastq.gz	5437457025;5070477182
ERR12305492	ERX11682439	SAMEA114639799	PRJEB70241	ERP155180	ILLUMINA	Illumina NovaSeq 6000	PAIRED	WGS	GENOMIC	69842772	10476415800	Indian Biological Data Centre;Pallavi Sinha;International Rice Research Institute	2024-01-24	India	Whole genome resequencing of Indian rice germplasm	SAMIN0004122-Whole genome resequencing of Indian rice germplasm	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/092/ERR12305492/ERR12305492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/092/ERR12305492/ERR12305492_2.fastq.gz	2560721228;2494877528
ERR12421774	ERX11798132	SAMEA115096206	PRJEB71716	ERP156500	ILLUMINA	Illumina NovaSeq X	PAIRED	WGS	GENOMIC	76844030	11526604500	Biotechnology and Nanotechnology Research Centre, MARDI	2024-02-29	Malaysia	Whole genome resequencing of landrace rice accessions with opposing response to salinity stress	rice_MY	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/074/ERR12421774/ERR12421774_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/074/ERR12421774/ERR12421774_2.fastq.gz	2386809641;2333140722
ERR12421780	ERX11798138	SAMEA115096206	PRJEB71716	ERP156500	ILLUMINA	Illumina NovaSeq X	PAIRED	WGS	GENOMIC	74991502	11248725300	Biotechnology and Nanotechnology Research Centre, MARDI	2024-02-29	Malaysia	Whole genome resequencing of landrace rice accessions with opposing response to salinity stress	rice_MY	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/080/ERR12421780/ERR12421780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/080/ERR12421780/ERR12421780_2.fastq.gz	2326901384;2282020623
ERR12421783	ERX11798141	SAMEA115096206	PRJEB71716	ERP156500	ILLUMINA	Illumina NovaSeq X	PAIRED	WGS	GENOMIC	13846506	2076975900	Biotechnology and Nanotechnology Research Centre, MARDI	2024-02-29	Malaysia	Whole genome resequencing of landrace rice accessions with opposing response to salinity stress	rice_MY	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/083/ERR12421783/ERR12421783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/083/ERR12421783/ERR12421783_2.fastq.gz	451540126;439871285
