run_accession	experiment_accession	sample_accession	study_accession	secondary_study_accession	instrument_platform	instrument_model	library_layout	library_strategy	library_source	read_count	base_count	center_name	first_public	country	sample_title	sample_alias	scientific_name	tax_id	fastq_ftp	fastq_bytes
ERR11778234	ERX11176903	SAMEA114006088	PRJEB64146	ERP149279	ILLUMINA	Illumina NovaSeq 6000	PAIRED	WGS	GENOMIC	156924704	23695630304	ITQB NOVA	2024-12-10	Portugal	rice_shoot_Caravela_ITQB	rs_Caravela_ITQB	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/034/ERR11778234/ERR11778234_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/034/ERR11778234/ERR11778234_2.fastq.gz	5840435490;6358619303
ERR11778992	ERX11177595	SAMEA114006089	PRJEB64146	ERP149279	ILLUMINA	Illumina NovaSeq 6000	PAIRED	WGS	GENOMIC	149991624	22648735224	ITQB NOVA	2024-12-10	Portugal	rice_shoot_Carnaroli_ITQB	rs_Carnaroli_ITQB	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/092/ERR11778992/ERR11778992_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/092/ERR11778992/ERR11778992_2.fastq.gz	5748033253;6038600098
ERR11779370	ERX11177973	SAMEA114006091	PRJEB64146	ERP149279	ILLUMINA	Illumina NovaSeq 6000	PAIRED	WGS	GENOMIC	132574292	20018718092	ITQB NOVA	2024-12-10	Portugal	rice_shoot_Elettra_ITQB	rs_Elettra_ITQB	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/070/ERR11779370/ERR11779370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/070/ERR11779370/ERR11779370_2.fastq.gz	5307390460;5073795164
ERR11784529	ERX11183046	SAMEA114006095	PRJEB64146	ERP149279	ILLUMINA	Illumina NovaSeq 6000	PAIRED	WGS	GENOMIC	158076892	23869610692	ITQB NOVA	2024-12-10	Portugal	rice_shoot_JSendra_ITQB	rs_JSendra_ITQB	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/029/ERR11784529/ERR11784529_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/029/ERR11784529/ERR11784529_2.fastq.gz	6337554370;5988108289
ERR11784649	ERX11183166	SAMEA114006096	PRJEB64146	ERP149279	ILLUMINA	Illumina NovaSeq 6000	PAIRED	WGS	GENOMIC	148248554	22385531654	ITQB NOVA	2024-12-10	Portugal	rice_shoot_Lusitano_ITQB	rs_Lusitano_ITQB	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/049/ERR11784649/ERR11784649_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/049/ERR11784649/ERR11784649_2.fastq.gz	6017720014;5618390382
ERR11788330	ERX11186798	SAMEA114006100	PRJEB64146	ERP149279	ILLUMINA	Illumina NovaSeq 6000	PAIRED	WGS	GENOMIC	157965828	23852840028	ITQB NOVA	2024-12-10	Portugal	rice_shoot_SuperBasmati_ITQB	rs_SuperBasmati_ITQB	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/030/ERR11788330/ERR11788330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/030/ERR11788330/ERR11788330_2.fastq.gz	6091537355;5869829166
ERR11838732	ERX11236855	SAMEA112646987	PRJEB59090	ERP144157	ILLUMINA	Illumina HiSeq 2500	PAIRED	WGS	GENOMIC	313418320	31341832000	National Center for Gene Research;Chinese Academy of Sciences;NCGR	2023-08-19		NIP	NIP	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR118/032/ERR11838732/ERR11838732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR118/032/ERR11838732/ERR11838732_2.fastq.gz	15550879591;15255460069
ERR12302763	ERX11679733	SAMEA114633137	PRJEB70241	ERP155180	ILLUMINA	Illumina NovaSeq 6000	PAIRED	WGS	GENOMIC	137731336	20659700400	Indian Biological Data Centre;Pallavi Sinha;International Rice Research Institute	2024-01-24	India	Whole genome resequencing of Indian rice germplasm	SAMIN0003765-Whole genome resequencing of Indian rice germplasm	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/063/ERR12302763/ERR12302763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/063/ERR12302763/ERR12302763_2.fastq.gz	5421299775;5193920880
ERR12304009	ERX11680955	SAMEA114638537	PRJEB70241	ERP155180	ILLUMINA	Illumina NovaSeq 6000	PAIRED	WGS	GENOMIC	117390332	17608549800	Indian Biological Data Centre;Pallavi Sinha;International Rice Research Institute	2024-01-26	India	Whole genome resequencing of Indian rice germplasm	SAMIN0004119-Whole genome resequencing of Indian rice germplasm	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/009/ERR12304009/ERR12304009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/009/ERR12304009/ERR12304009_2.fastq.gz	4599775423;4456034089
ERR12421775	ERX11798133	SAMEA115096206	PRJEB71716	ERP156500	ILLUMINA	Illumina NovaSeq X	PAIRED	WGS	GENOMIC	4299332	644899800	Biotechnology and Nanotechnology Research Centre, MARDI	2024-02-29	Malaysia	Whole genome resequencing of landrace rice accessions with opposing response to salinity stress	rice_MY	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/075/ERR12421775/ERR12421775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/075/ERR12421775/ERR12421775_2.fastq.gz	130452076;134446944
