database	label	query_term	count	querytranslation
sra	KW1: Oryza sativa WGS	Oryza+sativa+WGS	114838	("Oryza sativa"[Organism] OR Oryza sativa[All Fields]) AND WGS[All Fields]
sra	KW2: rice whole genome seq	rice+whole+genome+sequencing	41465	("Oryza sativa"[Organism] OR rice[All Fields]) AND whole[All Fields] AND genome[All Fields] AND sequencing[All Fields]
sra	KW3: rice variety WGS	rice+variety+WGS	26469	("Oryza sativa"[Organism] OR rice[All Fields]) AND variety[All Fields] AND WGS[All Fields]
sra	KW4: rice cultivar WGS	rice+cultivar+WGS	44168	("Oryza sativa"[Organism] OR rice[All Fields]) AND cultivar[All Fields] AND WGS[All Fields]
sra	KW5: rice genome resequencing	rice+genome+resequencing	32753	("Oryza sativa"[Organism] OR rice[All Fields]) AND genome[All Fields] AND resequencing[All Fields]
sra	OS	%22Oryza+sativa%22%5BOrganism%5D	193516	"Oryza sativa"[Organism]
sra	OS + WGS[Strategy]	%22Oryza+sativa%22%5BOrganism%5D+AND+WGS%5BStrategy%5D	106474	"Oryza sativa"[Organism] AND WGS[Strategy]
sra	OS + WGS + PAIRED	%22Oryza+sativa%22%5BOrganism%5D+AND+WGS%5BStrategy%5D+AND+paired%5BLayout%5D	104577	"Oryza sativa"[Organism] AND WGS[Strategy] AND paired[Layout]
sra	OS + WGS + ILLUMINA	%22Oryza+sativa%22%5BOrganism%5D+AND+WGS%5BStrategy%5D+AND+ILLUMINA%5BPlatform%5D	103166	"Oryza sativa"[Organism] AND WGS[Strategy] AND ILLUMINA[Platform]
bioproject	OS	%22Oryza+sativa%22%5BOrganism%5D	9450	"Oryza sativa"[Organism]
biosample	OS	%22Oryza+sativa%22%5BOrganism%5D	218272	"Oryza sativa"[Organism]
nuccore	OS	%22Oryza+sativa%22%5BOrganism%5D	2300483	"Oryza sativa"[Organism]
nuccore	OS + refseq	%22Oryza+sativa%22%5BOrganism%5D+AND+srcdb_refseq%5Bprop%5D	55746	"Oryza sativa"[Organism] AND srcdb_refseq[prop]
