database	query_label	query_term	hit_count
bioproject	OS-plain	%22Oryza+sativa%22	1
bioproject	rice-plain	rice	7
bioproject	rice-genome	rice+AND+genome	224
bioproject	OS-organism	%22Oryza+sativa%22%5BOrganism%5D	5
biosample	OS-organism	%22Oryza+sativa%22%5BOrganism%5D	1094
biosample	OS-cultivar	%22Oryza+sativa%22%5BOrganism%5D+AND+cultivar	978
biosample	OS-indica	%22Oryza+sativa%22%5BOrganism%5D+AND+indica	37
biosample	OS-japonica	%22Oryza+sativa%22%5BOrganism%5D+AND+japonica	48
sra	OS-WGS-ILLUMINA	%22Oryza+sativa%22%5BOrganism%5D+AND+WGS%5BStrategy%5D+AND+%22ILLUMINA%22%5BPlatform%5D	12082
sra	OS-WGS-PACBIO	%22Oryza+sativa%22%5BOrganism%5D+AND+WGS%5BStrategy%5D+AND+%22PACBIO%22%5BPlatform%5D	11
