uid	run	experiment	study	study_name	sample	bioproject	biosample	submitter	library_strategy	library_source	layout	platform	instrument	total_bases	est_depth	organism	title
46789691	DRR971114	DRX948749	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS635056	PRJDB38331	SAMD01760641	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4064809800	10.84	Oryza sativa	B1674 (CRX842160)
46789116	DRR970677	DRX948312	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS634619	PRJDB38331	SAMD01760204	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4025187000	10.73	Oryza sativa	B1139 (CRX841723)
46786210	DRR968212	DRX945847	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS632154	PRJDB38331	SAMD01757739	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4082452500	10.89	Oryza sativa	A1065 (CRX839258)
46784982	DRR968752	DRX946387	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS632694	PRJDB38331	SAMD01758279	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4698285000	12.53	Oryza sativa	A169 (CRX839798)
46782333	DRR969916	DRX947551	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS633858	PRJDB38331	SAMD01759443	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4987239000	13.3	Oryza sativa	A3066 (CRX840962)
46763989	DRR970278	DRX947913	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS634220	PRJDB38331	SAMD01759805	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4329076200	11.54	Oryza sativa	A661 (CRX841324)
46763988	DRR968675	DRX946310	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS632617	PRJDB38331	SAMD01758202	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	3738416400	9.97	Oryza sativa	A1603 (CRX839721)
46762469	DRR968921	DRX946556	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS632863	PRJDB38331	SAMD01758448	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4771037100	12.72	Oryza sativa	A1942 (CRX839967)
46762468	DRR971603	DRX949238	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS635545	PRJDB38331	SAMD01761130	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4349210700	11.6	Oryza sativa	B2164 (CRX842649)
46759866	SRR40665722	SRX35240401	SRP736545	Whole-genome sequencing for QTL-seq analysis of rice allelopathy	SRS30735894	PRJNA1529311	SAMN63138072	SRA2540690	WGS	GENOMIC	PAIRED	ILLUMINA	NextSeq 1000	12424366070	33.13	Oryza sativa	Pooled DNA bulks of rice: Sathi  Nongan-derived RIL population
46759865	SRR40665723	SRX35240400	SRP736545	Whole-genome sequencing for QTL-seq analysis of rice allelopathy	SRS30735893	PRJNA1529311	SAMN63138071	SRA2540690	WGS	GENOMIC	PAIRED	ILLUMINA	NextSeq 1000	10814499502	28.84	Oryza sativa	Pooled DNA bulks of rice: Sathi  Nongan-derived RIL population
46753519	DRR972118	DRX949753	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS636060	PRJDB38331	SAMD01761645	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	3864801300	10.31	Oryza sativa	B2791 (CRX843164)
46753518	DRR968835	DRX946470	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS632777	PRJDB38331	SAMD01758362	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	6082640400	16.22	Oryza sativa	A1830 (CRX839881)
46747095	DRR971563	DRX949198	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS635505	PRJDB38331	SAMD01761090	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	3249800100	8.67	Oryza sativa	B2121 (CRX842609)
46745478	DRR971415	DRX949050	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS635357	PRJDB38331	SAMD01760942	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4309473900	11.49	Oryza sativa	B1973 (CRX842461)
46743855	DRR970400	DRX948035	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS634342	PRJDB38331	SAMD01759927	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4444469100	11.85	Oryza sativa	A802 (CRX841446)
46743852	DRR969069	DRX946704	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS633011	PRJDB38331	SAMD01758596	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	5175518700	13.8	Oryza sativa	A2110 (CRX840115)
46735277	DRR968378	DRX946013	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS632320	PRJDB38331	SAMD01757905	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	6508607400	17.36	Oryza sativa	A1240 (CRX839424)
46733152	DRR972101	DRX949736	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS636043	PRJDB38331	SAMD01761628	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	3237815400	8.63	Oryza sativa	B2774 (CRX843147)
46732451	DRR969485	DRX947120	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS633427	PRJDB38331	SAMD01759012	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	5293054200	14.11	Oryza sativa	A256 (CRX840531)
46732029	DRR970562	DRX948197	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS634504	PRJDB38331	SAMD01760089	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	5108930100	13.62	Oryza sativa	A996 (CRX841608)
46725761	DRR968979	DRX946614	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS632921	PRJDB38331	SAMD01758506	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4376084400	11.67	Oryza sativa	A201 (CRX840025)
46725760	DRR970691	DRX948326	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS634633	PRJDB38331	SAMD01760218	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	5259112200	14.02	Oryza sativa	B1157 (CRX841737)
46717829	DRR968569	DRX946204	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS632511	PRJDB38331	SAMD01758096	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	3832733100	10.22	Oryza sativa	A1490 (CRX839615)
46716565	DRR969717	DRX947352	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS633659	PRJDB38331	SAMD01759244	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4800912600	12.8	Oryza sativa	A283 (CRX840763)
46712718	DRR969568	DRX947203	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS633510	PRJDB38331	SAMD01759095	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	5951861100	15.87	Oryza sativa	A2661 (CRX840614)
46711643	DRR971193	DRX948828	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS635135	PRJDB38331	SAMD01760720	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	5353261200	14.28	Oryza sativa	B1751 (CRX842239)
46711642	DRR969233	DRX946868	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS633175	PRJDB38331	SAMD01758760	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4837903496	12.9	Oryza sativa	A2294 (CRX840279)
46711641	DRR971417	DRX949052	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS635359	PRJDB38331	SAMD01760944	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4268997300	11.38	Oryza sativa	B1975 (CRX842463)
46710609	DRR968895	DRX946530	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS632837	PRJDB38331	SAMD01758422	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4130062800	11.01	Oryza sativa	A1904 (CRX839941)
46710608	DRR969405	DRX947040	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS633347	PRJDB38331	SAMD01758932	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	3835604100	10.23	Oryza sativa	A2485 (CRX840451)
46710604	DRR969169	DRX946804	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS633111	PRJDB38331	SAMD01758696	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	7032845700	18.75	Oryza sativa	A2225 (CRX840215)
46708226	DRR971756	DRX949391	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS635698	PRJDB38331	SAMD01761283	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4384414200	11.69	Oryza sativa	B2358 (CRX842802)
46698797	DRR968998	DRX946633	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS632940	PRJDB38331	SAMD01758525	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	8239762200	21.97	Oryza sativa	A2038 (CRX840044)
