run_accession	sample_accession	sample_title	sample_alias	scientific_name	cultivar	variety	ecotype	strain	country	instrument_platform	library_layout	base_count
ERR10368527	SAMEA111468818	IR64	SAMIN0000058-IR64	Oryza sativa						ILLUMINA	PAIRED	13323135101
ERR10906857	SAMEA112657701	Low Grain Elongation	SAMIN0000657-Low Grain Elongation	Oryza sativa	LGE-Bulk - Basmati 370 X Pusa Basmati 1121					ILLUMINA	PAIRED	33467690494
ERR10906859	SAMEA112657699	Basmati 370	SAMIN0000654-Basmati 370	Oryza sativa	Basmati 370					ILLUMINA	PAIRED	15716068164
ERR11777987	SAMEA114006087	rice_seed_BasmatiTypeIII_ITQB	rs_BasmatiTypeIII_ITQB	Oryza sativa					India	ILLUMINA	PAIRED	24369901778
ERR11779317	SAMEA114006090	rice_shoot_CL28_ITQB	rs_CL28_ITQB	Oryza sativa					Portugal	ILLUMINA	PAIRED	26062811098
ERR11783480	SAMEA114006093	rice_shoot_Giza177_ITQB	rs_Giza177_ITQB	Oryza sativa					Portugal	ILLUMINA	PAIRED	23252754250
ERR11787704	SAMEA114006099	rice_shoot_Ronaldo_ITQB	rs_Ronaldo_ITQB	Oryza sativa					Portugal	ILLUMINA	PAIRED	20675670168
ERR11792779	SAMEA114006102	rice_shoot_Ulisse_ITQB	rs_Ulisse_ITQB	Oryza sativa					Portugal	ILLUMINA	PAIRED	23628543722
ERR11838731	SAMEA112646987	NIP	NIP	Oryza sativa						PACBIO_SMRT	SINGLE	7548320019
ERR12305486	SAMEA114639800	Whole genome resequencing of Indian rice germplasm	SAMIN0004124-Whole genome resequencing of Indian rice germplasm	Oryza sativa					India	ILLUMINA	PAIRED	11522736000
ERR12305488	SAMEA114639802	Whole genome resequencing of Indian rice germplasm	SAMIN0004126-Whole genome resequencing of Indian rice germplasm	Oryza sativa					India	ILLUMINA	PAIRED	6960873300
ERR12305489	SAMEA114639803	Whole genome resequencing of Indian rice germplasm	SAMIN0004123-Whole genome resequencing of Indian rice germplasm	Oryza sativa					India	ILLUMINA	PAIRED	10230763500
ERR12421771	SAMEA115096206	Whole genome resequencing of landrace rice accessions with opposing response to salinity stress	rice_MY	Oryza sativa					Malaysia	ILLUMINA	PAIRED	817965900
ERR12421773	SAMEA115096206	Whole genome resequencing of landrace rice accessions with opposing response to salinity stress	rice_MY	Oryza sativa					Malaysia	ILLUMINA	PAIRED	1663619100
ERR12421776	SAMEA115096206	Whole genome resequencing of landrace rice accessions with opposing response to salinity stress	rice_MY	Oryza sativa					Malaysia	ILLUMINA	PAIRED	538586700
ERR12421784	SAMEA115096206	Whole genome resequencing of landrace rice accessions with opposing response to salinity stress	rice_MY	Oryza sativa					Malaysia	ILLUMINA	PAIRED	10646994900
ERR13336040	SAMEA115396712	GP119 ONT whole-genome sequencing	Rice GP119	Oryza sativa						OXFORD_NANOPORE	SINGLE	40843265347
ERR13336041	SAMEA115396714	GP523 ONT whole-genome sequencing	Rice GP523	Oryza sativa						OXFORD_NANOPORE	SINGLE	44672580656
ERR13336057	SAMEA115396709	Gla4 HiFi whole-genome sequencing	Rice Gla4	Oryza sativa						PACBIO_SMRT	SINGLE	9524019633
ERR13336061	SAMEA115396715	GP524 HiFi whole-genome sequencing	Rice GP524	Oryza sativa						PACBIO_SMRT	SINGLE	14696496116
ERR13765492	SAMEA115396710	GP100 HiFi whole-genome sequencing	Rice GP100	Oryza sativa						ILLUMINA	PAIRED	9699253500
ERR13765493	SAMEA115396711	GP117 HiFi whole-genome sequencing	Rice GP117	Oryza sativa						ILLUMINA	PAIRED	9699253500
ERR13765499	SAMEA115396717	GP58 HiFi whole-genome sequencing	Rice GP58	Oryza sativa						ILLUMINA	PAIRED	9699253500
