sample_id	variety_name	subspecies	run_accession	bioproject	biosample	platform	paired_or_single	estimated_depth	read_length	fastq_ftp	fastq_bytes	source_db	panel_role
SRR27987055	jg818	japonica	SRR27987055	PRJNA1077238	SAMN39960726	ILLUMINA	PAIRED	42.822	295.4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/055/SRR27987055/SRR27987055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/055/SRR27987055/SRR27987055_2.fastq.gz	5701217031;5886196997	NCBI_SRA	independent_test
SRR5486789	Tam Xoan Hai Hau	japonica	SRR5486789	PRJNA384811	SAMN06848500	ILLUMINA	PAIRED	41.217	200.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR548/009/SRR5486789/SRR5486789_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR548/009/SRR5486789/SRR5486789_2.fastq.gz	6592064220;6690401198	NCBI_SRA	independent_test
SRR5463094	Longdao24	japonica	SRR5463094	PRJNA383779	SAMN06806499	ILLUMINA	PAIRED	40.915	299.9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/004/SRR5463094/SRR5463094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/004/SRR5463094/SRR5463094_2.fastq.gz	4114854650;4589072219	NCBI_SRA	independent_test
SRR28514681	LB	indica	SRR28514681	PRJNA1094905	SAMN40707260	ILLUMINA	PAIRED	37.967	296.5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR285/081/SRR28514681/SRR28514681_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR285/081/SRR28514681/SRR28514681_2.fastq.gz	2745975590;2752259810	NCBI_SRA	independent_test
DRR092498	Akidawara	indica	DRR092498	PRJDB5765	SAMD00080139	ILLUMINA	PAIRED	37.166	200.0	ftp.sra.ebi.ac.uk/vol1/fastq/DRR092/DRR092498/DRR092498_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR092/DRR092498/DRR092498_2.fastq.gz	5925126440;6010268633	DDBJ	independent_test
SRR2029574	Huanghuazhan:HM2-S125	indica	SRR2029574	PRJNA283022	SAMN03603350	ILLUMINA	PAIRED	37.129	200.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR202/004/SRR2029574/SRR2029574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR202/004/SRR2029574/SRR2029574_2.fastq.gz	5574550895;5693239164	NCBI_SRA	independent_test
SRR2543336	Ble te lo	japonica	SRR2543336	PRJNA296753	SAMN04103085	ILLUMINA	PAIRED	35.627	200.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR254/006/SRR2543336/SRR2543336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR254/006/SRR2543336/SRR2543336_2.fastq.gz	5475789390;5537595913	NCBI_SRA	independent_test
SRR5486790	Tam Xoan Bac Ninh	japonica	SRR5486790	PRJNA384811	SAMN06848499	ILLUMINA	PAIRED	35.608	200.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR548/000/SRR5486790/SRR5486790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR548/000/SRR5486790/SRR5486790_2.fastq.gz	5845156536;5809638847	NCBI_SRA	independent_test
SRR2529343	Chiem Nho Bac Ninh 2	indica	SRR2529343	PRJNA296753	SAMN04103083	ILLUMINA	PAIRED	34.467	200.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/003/SRR2529343/SRR2529343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/003/SRR2529343/SRR2529343_2.fastq.gz	5453204198;5566831885	NCBI_SRA	independent_test
SRR24504128	Jia58	japonica	SRR24504128	PRJNA956682	SAMN34229302	ILLUMINA	PAIRED	33.162	300.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/028/SRR24504128/SRR24504128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/028/SRR24504128/SRR24504128_2.fastq.gz	2002561270;2096316913	NCBI_SRA	independent_test
SRR2543299	Nep Lun	indica	SRR2543299	PRJNA296753	SAMN04103084	ILLUMINA	PAIRED	30.098	200.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR254/009/SRR2543299/SRR2543299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR254/009/SRR2543299/SRR2543299_2.fastq.gz	4759879436;4802502280	NCBI_SRA	independent_test
ERR10368528	Vandana	indica	ERR10368528	PRJEB56693	SAMEA111468911	ILLUMINA	PAIRED	28.597	98.9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/028/ERR10368528/ERR10368528_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/028/ERR10368528/ERR10368528_2.fastq.gz	4012540130;3983380578	ENA	independent_test
SRR30280100	Induced haploid 5	unknown	SRR30280100	PRJNA1147860	SAMN43173051	DNBSEQ	PAIRED	20.173	300.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/000/SRR30280100/SRR30280100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/000/SRR30280100/SRR30280100_2.fastq.gz	2652145712;2965473538	NCBI_SRA	independent_test
DRR771469	NG718	unknown	DRR771469	PRJDB36518	SAMD01666593	ILLUMINA	PAIRED	20.151	299.0	ftp.sra.ebi.ac.uk/vol1/fastq/DRR771/DRR771469/DRR771469_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR771/DRR771469/DRR771469_2.fastq.gz	1611968356;1651071073	DDBJ	independent_test
SRR32361556	DN9_118	unknown	SRR32361556	PRJNA1224316	SAMN46856973	ILLUMINA	PAIRED	20.133	300.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR323/056/SRR32361556/SRR32361556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR323/056/SRR32361556/SRR32361556_2.fastq.gz	1743941675;1825434058	NCBI_SRA	independent_test
SRR22440327	Ganggye 3	unknown	SRR22440327	PRJNA896894	SAMN31571479	ILLUMINA	PAIRED	20.13	300.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR224/027/SRR22440327/SRR22440327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR224/027/SRR22440327/SRR22440327_2.fastq.gz	3223089740;3171976837	NCBI_SRA	independent_test
SRR9943889	Tak Siah	unknown	SRR9943889	PRJNA422249	SAMN12548487	ILLUMINA	PAIRED	20.13	202.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR994/009/SRR9943889/SRR9943889_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR994/009/SRR9943889/SRR9943889_2.fastq.gz	3220122766;3243028075	NCBI_SRA	independent_test
SRR22440367	Heocheon4	unknown	SRR22440367	PRJNA896894	SAMN31571643	ILLUMINA	PAIRED	20.102	300.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR224/067/SRR22440367/SRR22440367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR224/067/SRR22440367/SRR22440367_2.fastq.gz	3205090409;3178261250	NCBI_SRA	independent_test
SRR25567107	Yejo	unknown	SRR25567107	PRJNA1003283	SAMN36886618	ILLUMINA	PAIRED	20.089	302.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR255/007/SRR25567107/SRR25567107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR255/007/SRR25567107/SRR25567107_2.fastq.gz	1475622979;1406829003	NCBI_SRA	independent_test
SRR6220456	cultivated_rice_128	unknown	SRR6220456	PRJNA407820	SAMN07718167	ILLUMINA	PAIRED	20.087	250.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR622/006/SRR6220456/SRR6220456_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR622/006/SRR6220456/SRR6220456_2.fastq.gz	3054284703;2997179819	NCBI_SRA	independent_test
SRR11131409	US_L202	unknown	SRR11131409	PRJNA603026	SAMN14152738	ILLUMINA	PAIRED	20.05	199.1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/009/SRR11131409/SRR11131409_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/009/SRR11131409/SRR11131409_2.fastq.gz	2243958398;2352846585	NCBI_SRA	independent_test
DRR771445	DN2323	unknown	DRR771445	PRJDB36518	SAMD01666569	ILLUMINA	PAIRED	20.044	299.2	ftp.sra.ebi.ac.uk/vol1/fastq/DRR771/DRR771445/DRR771445_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR771/DRR771445/DRR771445_2.fastq.gz	1515558178;1560074836	DDBJ	independent_test
SRR24060283	ART71-96-1-1-B-B	unknown	SRR24060283	PRJNA951930	SAMN34065134	ILLUMINA	PAIRED	20.041	289.3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/083/SRR24060283/SRR24060283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/083/SRR24060283/SRR24060283_2.fastq.gz	1932346247;2052266690	NCBI_SRA	independent_test
SRR25567193	Sura	unknown	SRR25567193	PRJNA1003283	SAMN36886502	ILLUMINA	PAIRED	20.032	302.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR255/093/SRR25567193/SRR25567193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR255/093/SRR25567193/SRR25567193_2.fastq.gz	1418887547;1419794584	NCBI_SRA	independent_test
SRR22223553	G41971	unknown	SRR22223553	PRJNA896343	SAMN31564333	ILLUMINA	PAIRED	20.019	300.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/053/SRR22223553/SRR22223553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/053/SRR22223553/SRR22223553_2.fastq.gz	1658382955;1710803044	NCBI_SRA	independent_test
